frame,timecode,name,X,Y,Z,min,max
0,00:00:00.000,trunk.002,178.281,-2.939,-59.667,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
0,00:00:00.000,trunk.003,177.935,-2.145,-7.445,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
0,00:00:00.000,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
1,00:00:00.033,trunk.002,178.268,-2.932,-59.411,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
1,00:00:00.033,trunk.003,177.940,-2.141,-7.430,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
1,00:00:00.033,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
2,00:00:00.067,trunk.002,178.251,-2.922,-59.077,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
2,00:00:00.067,trunk.003,177.947,-2.134,-7.409,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
2,00:00:00.067,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
3,00:00:00.100,trunk.002,178.230,-2.909,-58.665,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
3,00:00:00.100,trunk.003,177.955,-2.125,-7.381,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
3,00:00:00.100,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
4,00:00:00.133,trunk.002,178.205,-2.894,-58.175,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
4,00:00:00.133,trunk.003,177.966,-2.114,-7.346,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
4,00:00:00.133,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
5,00:00:00.167,trunk.002,178.177,-2.876,-57.606,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
5,00:00:00.167,trunk.003,177.979,-2.101,-7.303,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
5,00:00:00.167,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
6,00:00:00.200,trunk.002,178.144,-2.855,-56.957,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
6,00:00:00.200,trunk.003,177.994,-2.086,-7.254,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
6,00:00:00.200,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
7,00:00:00.233,trunk.002,178.108,-2.831,-56.230,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
7,00:00:00.233,trunk.003,178.010,-2.069,-7.197,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
7,00:00:00.233,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
8,00:00:00.267,trunk.002,178.068,-2.804,-55.422,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
8,00:00:00.267,trunk.003,178.028,-2.049,-7.131,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
8,00:00:00.267,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
9,00:00:00.300,trunk.002,178.025,-2.774,-54.533,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
9,00:00:00.300,trunk.003,178.049,-2.026,-7.058,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
9,00:00:00.300,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
10,00:00:00.333,trunk.002,177.979,-2.740,-53.565,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
10,00:00:00.333,trunk.003,178.070,-2.001,-6.976,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
10,00:00:00.333,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
11,00:00:00.367,trunk.002,177.929,-2.703,-52.515,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
11,00:00:00.367,trunk.003,178.094,-1.973,-6.884,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
11,00:00:00.367,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
12,00:00:00.400,trunk.002,177.876,-2.661,-51.384,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
12,00:00:00.400,trunk.003,178.119,-1.943,-6.783,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
12,00:00:00.400,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
13,00:00:00.433,trunk.002,177.820,-2.616,-50.171,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
13,00:00:00.433,trunk.003,178.145,-1.909,-6.672,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
13,00:00:00.433,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
14,00:00:00.467,trunk.002,177.762,-2.566,-48.877,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
14,00:00:00.467,trunk.003,178.173,-1.873,-6.551,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
14,00:00:00.467,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
15,00:00:00.500,trunk.002,177.701,-2.512,-47.502,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
15,00:00:00.500,trunk.003,178.202,-1.833,-6.419,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
15,00:00:00.500,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
16,00:00:00.533,trunk.002,177.637,-2.452,-46.045,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
16,00:00:00.533,trunk.003,178.231,-1.790,-6.275,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
16,00:00:00.533,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
17,00:00:00.567,trunk.002,177.573,-2.388,-44.507,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
17,00:00:00.567,trunk.003,178.262,-1.744,-6.119,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
17,00:00:00.567,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
18,00:00:00.600,trunk.002,177.506,-2.319,-42.889,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
18,00:00:00.600,trunk.003,178.293,-1.694,-5.951,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
18,00:00:00.600,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
19,00:00:00.633,trunk.002,177.439,-2.244,-41.191,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
19,00:00:00.633,trunk.003,178.325,-1.641,-5.770,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
19,00:00:00.633,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
20,00:00:00.667,trunk.002,177.370,-2.163,-39.415,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
20,00:00:00.667,trunk.003,178.358,-1.584,-5.576,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
20,00:00:00.667,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
21,00:00:00.700,trunk.002,177.302,-2.077,-37.561,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
21,00:00:00.700,trunk.003,178.390,-1.523,-5.369,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
21,00:00:00.700,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
22,00:00:00.733,trunk.002,177.233,-1.985,-35.632,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
22,00:00:00.733,trunk.003,178.422,-1.459,-5.148,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
22,00:00:00.733,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
23,00:00:00.767,trunk.002,177.166,-1.887,-33.629,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
23,00:00:00.767,trunk.003,178.454,-1.391,-4.914,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
23,00:00:00.767,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
24,00:00:00.800,trunk.002,177.099,-1.783,-31.554,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
24,00:00:00.800,trunk.003,178.486,-1.319,-4.665,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
24,00:00:00.800,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
25,00:00:00.833,trunk.002,177.035,-1.673,-29.412,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
25,00:00:00.833,trunk.003,178.517,-1.243,-4.402,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
25,00:00:00.833,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
26,00:00:00.867,trunk.002,176.972,-1.558,-27.203,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
26,00:00:00.867,trunk.003,178.546,-1.164,-4.126,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
26,00:00:00.867,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
27,00:00:00.900,trunk.002,176.913,-1.437,-24.933,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
27,00:00:00.900,trunk.003,178.575,-1.081,-3.837,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
27,00:00:00.900,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
28,00:00:00.933,trunk.002,176.857,-1.310,-22.605,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
28,00:00:00.933,trunk.003,178.602,-0.995,-3.534,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
28,00:00:00.933,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
29,00:00:00.967,trunk.002,176.805,-1.178,-20.224,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
29,00:00:00.967,trunk.003,178.627,-0.906,-3.219,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
29,00:00:00.967,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
30,00:00:01.000,trunk.002,176.758,-1.041,-17.794,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
30,00:00:01.000,trunk.003,178.650,-0.813,-2.892,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
30,00:00:01.000,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
31,00:00:01.033,trunk.002,176.716,-0.900,-15.320,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
31,00:00:01.033,trunk.003,178.671,-0.718,-2.554,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
31,00:00:01.033,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
